ConceptID,ConceptLabel,Dependencies,TaxonomyID,SourceURL,source_content_hash
1,Reason + Act — interleaved thought/action steps,2:PATTERN,T-LOOP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
2,LLM generates reasoning trace — visible in context forever,,T-REACT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
3,"Tool call — search, calculator, lookup",,T-REACT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
4,Tool result injected into context,,T-REACT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
5,"5-10 iterations typical · 3,000-15,000 tokens per session · worst case: RAG retrieval on every thought step",,T-REACT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
6,"Inject CKG traversal as the Action instead of RAG search · 269 tokens vs 2,982 per lookup · thoughts stay short because ",,T-REACT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
7,LangChain AgentExecutor · LlamaIndex ReActAgent · LangGraph react_agent_executor · Claude Code native,,T-REACT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
8,"Separate planner + executor — plan generated once, steps executed sequentially",,T-LOOP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
9,LLM generates full task plan upfront,,T-PLANEX,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
10,"Executes each step, injects result back into context",,T-PLANEX,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
